title,movie_id
Star Wars: Episode VII - The Force Awakens(2015),tt2488496
Avengers: Endgame(2019),tt4154796
Avatar(2009),tt0499549
Titanic(1997),tt0120338
Jurassic World(2015),tt0369610
The Avengers(2012),tt0848228
Star Wars: Episode VIII - The Last Jedi(2017),tt2527336
The Lion King(2019),tt6105098
The Dark Knight(2008),tt0468569
Rogue One: A Star Wars Story(2016),tt3748528
Star Wars: Episode IX - The Rise of Skywalker(2019),tt2527338
Beauty and the Beast(2017),tt2771200
Star Wars: Episode I - The Phantom Menace(1999),tt0120915
Frozen II(2019),tt4520988
Avengers: Age of Ultron(2015),tt2395427
The Dark Knight Rises(2012),tt1345836
Shrek 2(2004),tt0298148
Toy Story 4(2019),tt1979376
Captain Marvel(2019),tt4154664
The Hunger Games: Catching Fire(2013),tt1951264
Pirates of the Caribbean: Dead Man's Chest(2006),tt0383574
Jurassic World: Fallen Kingdom(2018),tt4881806
Toy Story 3(2010),tt0435761
Wonder Woman(2017),tt0451279
Iron Man 3(2013),tt1300854
Captain America: Civil War(2016),tt3498820
The Hunger Games(2012),tt1392170
Spider-Man(2002),tt0145487
Jumanji: Welcome to the Jungle(2017),tt2283362
Transformers: Revenge of the Fallen(2009),tt1055369
Frozen(2013),tt2294629
Spider-Man: Far from Home(2019),tt6320628
Guardians of the Galaxy Vol. 2(2017),tt3896198
The Lord of the Rings: The Return of the King(2003),tt0167260
Finding Nemo(2003),tt0266543
Star Wars: Episode III - Revenge of the Sith(2005),tt0121766
Spider-Man 2(2004),tt0316654
The Passion of the Christ(2004),tt0335345
The Secret Life of Pets(2016),tt2709768
Despicable Me 2(2013),tt1690953
The Jungle Book(2016),tt3040964
Deadpool(2016),tt1431045
Inside Out(2015),tt2096673
Aladdin(2019),tt6139732
Furious 7(2015),tt2820852
Transformers: Dark of the Moon(2011),tt1399103
American Sniper(2014),tt2179136
The Lord of the Rings: The Two Towers(2002),tt0167261
Spider-Man 3(2007),tt0413300
The Hunger Games: Mockingjay - Part 1(2014),tt1951265
Minions(2015),tt2293640
Joker(2019),tt7286456
Spider-Man: Homecoming(2017),tt2250912
Alice in Wonderland(2010),tt1014759
Guardians of the Galaxy(2014),tt2015381
Batman v Superman: Dawn of Justice(2016),tt2975590
It(2017),tt1396484
Suicide Squad(2016),tt1386697
Deadpool 2(2018),tt5463162
Shrek the Third(2007),tt0413267
Jumanji: The Next Level(2019),tt7975244
The Lord of the Rings: The Fellowship of the Ring(2001),tt0120737
Transformers(2007),tt0418279
Iron Man(2008),tt0371746
Harry Potter and the Sorcerer's Stone(2001),tt0241527
Indiana Jones and the Kingdom of the Crystal Skull(2008),tt0367882
Thor: Ragnarok(2017),tt3501632
Iron Man 2(2010),tt1228705
Star Wars: Episode II - Attack of the Clones(2002),tt0121765
Pirates of the Caribbean: At World's End(2007),tt0449088
Independence Day(1996),tt0116629
Pirates of the Caribbean: The Curse of the Black Pearl(2003),tt0325980
Skyfall(2012),tt1074638
Harry Potter and the Half-Blood Prince(2009),tt0417741
The Twilight Saga: Eclipse(2010),tt1325004
The Twilight Saga: New Moon(2009),tt1259571
The Sixth Sense(1999),tt0167404
Up(2009),tt1049413
Inception(2010),tt1375666
Harry Potter and the Order of the Phoenix(2007),tt0373889
The Twilight Saga: Breaking Dawn - Part 2(2012),tt1673434
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe(2005)",tt0363771
Man of Steel(2013),tt0770828
"Monsters, Inc.(2001)",tt0198781
Harry Potter and the Goblet of Fire(2005),tt0330373
The Hunger Games: Mockingjay - Part 2(2015),tt1951266
The Matrix Reloaded(2003),tt0234215
The Twilight Saga: Breaking Dawn - Part 1(2011),tt1324999
Meet the Fockers(2004),tt0290002
The Hangover(2009),tt1119646
Gravity(2013),tt1454468
The Grinch(2018),tt2709692
Sing(2016),tt3470600
Shrek(2001),tt0126029
Despicable Me 3(2017),tt3469046
The Amazing Spider-Man(2012),tt0948470
Harry Potter and the Chamber of Secrets(2002),tt0295297
How the Grinch Stole Christmas(2000),tt0170016
The Incredibles(2004),tt0317705
Captain America: The Winter Soldier(2014),tt1843866
The Lego Movie(2014),tt1490017
Star Trek(2009),tt0796366
I Am Legend(2007),tt0480249
The Blind Side(2009),tt0878804
The Hangover Part II(2011),tt1411697
Despicable Me(2010),tt1323594
Men in Black(1997),tt0119654
Harry Potter and the Prisoner of Azkaban(2004),tt0304141
Toy Story 2(1999),tt0120363
Transformers: Age of Extinction(2014),tt2109248
Cars(2006),tt0317219
Bruce Almighty(2003),tt0315327
Twister(1996),tt0117998
My Big Fat Greek Wedding(2002),tt0259446
