"title","domestic","budget","domestic_distributor","distri_type","movie_id","title_year","runtime","imdb_avg_rating","imdb_numvotes","ROI_domestic","audience_score","critic_score","ge_action","ge_comedy","ge_drama_thriller","ge_scifi_ftsy","ge_crime_mist","ge_romance","ge_horror","ge_animation","is_bo_bomb"
"Avengers: Endgame(2019)",858,356,"Walt Disney Studios Motion Pictures","Major","tt4154796","2019",181,8.4,1341157,2.41116011235955,90,94,1,0,0,1,0,0,0,0,0
"Avatar(2009)",785,237,"Twentieth Century Fox","Major","tt0499549","2009",162,7.9,1424373,3.31317151476793,82,81,1,0,0,1,0,0,0,0,0
"Avengers: Infinity War(2018)",678,321,"Walt Disney Studios Motion Pictures","Major","tt4154756","2018",149,8.4,1273866,2.11468997507788,92,85,1,0,0,1,0,0,0,0,0
"Titanic(1997)",674,200,"Paramount Pictures","Major","tt0120338","1997",194,7.9,1331142,3.37177441,69,88,0,0,1,0,0,1,0,0,0
"Jurassic World(2015)",653,150,"Universal Pictures","Major","tt0369610","2015",124,6.9,698617,4.35604416666667,78,71,1,0,0,1,0,0,0,0,0
"Barbie(2023)",636,100,"Warner Bros.","Major","tt1517268","2023",114,6.8,599605,5,83,88,0,1,0,1,0,0,0,0,0
"Incredibles 2(2018)",608,200,"Walt Disney Studios Motion Pictures","Major","tt3606756","2018",118,7.5,348653,3.04290872,84,93,1,1,0,1,0,0,0,1,0
"The Super Mario Bros. Movie(2023)",574,100,"Universal Pictures","Major","tt6718170","2023",92,7,263536,5,95,59,0,1,0,1,0,0,0,1,0
"The Lion King(2019)",543,260,"Walt Disney Studios Motion Pictures","Major","tt6105098","2019",118,6.8,280649,2.09091555,93,92,0,0,1,1,0,0,0,1,0
"The Dark Knight(2008)",534,185,"Warner Bros.","Major","tt0468569","2008",152,9,2996934,2.89182203243243,94,94,1,0,1,0,1,0,0,0,0
"Rogue One: A Star Wars Story(2016)",533,200,"Walt Disney Studios Motion Pictures","Major","tt3748528","2016",133,7.8,709587,2.667699955,87,84,1,0,0,1,0,0,0,0,0
