Var1,Freq
101 Studios ,1
20th Century Studios ,1
A24 ,3
Amazon MGM Studios ,4
Amazon Studios ,2
Anchor Bay Films ,1
Angel Studios ,1
Annapurna Pictures ,3
Apparition ,1
Artisan Entertainment ,1
Aviron Pictures ,1
BH Tilt ,1
Bleecker Street Media ,2
Broad Green Pictures ,2
CBS Films ,4
Chicago Pictures ,1
China Lion Film Distribution ,3
Christal Films ,1
Clarius Entertainment ,1
CMC Pictures ,3
Cohen Media Group ,1
Columbia Pictures ,7
DEJ Productions ,1
Destination Films ,2
Dimension Films,7
Dimension Films ,11
Drafthouse Films ,1
DreamWorks ,33
DreamWorks Distribution ,46
Electric Entertainment ,1
Entertainment One ,4
Entertainment Studios Motion Pictures ,4
Epic Pictures Group ,1
Eros Worldwide ,1
EuropaCorp ,1
FilmDistrict ,8
First Look International ,1
Focus Features ,30
Fox Searchlight Pictures ,7
Freestyle Releasing ,6
Fun Academy Media Group ,1
Gramercy Pictures (I) ,1
Gulf Film ,1
Hummingbird Pictures ,1
IFC Films ,3
Indomina Releasing ,1
Ketchup Entertainment ,1
Lionsgate ,117
Lionsgate Premiere ,1
Magnolia Pictures ,7
Metro-Goldwyn-Mayer (MGM) ,64
Millennium Entertainment ,3
Miramax ,46
Neon ,2
New Line Cinema ,73
Newmarket Films ,3
Open Road Films (II) ,13
Orion Pictures ,1
Overture Films ,4
Paladin ,1
Pantelion Films ,1
Paramount Classics ,1
Paramount Pictures ,219
Paramount Pictures International ,1
Paramount Vantage ,5
Phaedra Cinema ,1
Picturehouse ,1
PolyGram ,5
Prathyangira Cinemas ,1
R.S. Entertainment ,1
RADiUS-TWC ,3
Relativity Media ,17
Revolution Studios ,33
Roadside Attractions ,6
Rogue Pictures ,3
Romar Entertainment ,1
Saban Films ,1
Savoy Pictures ,2
Screen Gems ,29
Searchlight Pictures ,2
Shout! Factory ,1
Showbiz Direct ,1
Sony Pictures Classics ,10
Sony Pictures Releasing ,271
Strand Releasing ,1
Studio 8 ,2
STX Entertainment ,15
Summit Entertainment ,16
The Avenue Entertainment ,1
The Bigger Picture ,1
The H Collective ,1
The Samuel Goldwyn Company ,5
The Weinstein Company ,23
THINKFilm ,1
Third Rail Releasing ,2
TriStar Pictures ,11
Twentieth Century Fox ,260
United Artists ,2
United Artists Releasing ,2
Universal Pictures ,299
USA Films ,4
Variance Films ,1
Vertical Entertainment ,1
Viva Pictures ,2
Walt Disney Studios Motion Pictures ,273
Walt Disney Studios Motion Pictures See full company information /IMAX ,1
Warner Bros. ,410
Warner Independent Pictures (WIP) ,3
Well Go USA Entertainment ,16
